"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BPCL","2018-01-08","690","690","668","670","-1.76","14682"
"BPCL","2018-01-09","668","690","667","670","0.30","24774"
"BPCL","2018-01-10","680","680","667","673","1.04","5221"
"BPCL","2018-01-14","677","711","660","711","5.02","15698"
"BPCL","2018-01-16","697","697","659","660","-7.17","5962"
"BPCL","2018-01-17","654","665","648","665","0.76","13149"
"BPCL","2018-01-21","672","672","651","654","-2.11","10515"
"BPCL","2018-01-22","662","664","644","654","0.46","5600"
"BPCL","2018-01-23","646","646","630","640","-2.14","30490"
"BPCL","2018-01-24","631","640","630","635","-0.78","18709"
"BPCL","2018-01-25","635","636","629","636","0.16","5719"
"BPCL","2018-01-28","648","648","628","630","-1.26","4091"
"BPCL","2018-01-29","635","635","626","633","0.80","6939"
"BPCL","2018-01-31","625","625","604","617","-2.53","39540"
"BPCL","2018-02-01","629","632","604","611","-0.97","24376"
"BPCL","2018-02-04","604","616","575","580","-5.07","28989"
"BPCL","2018-02-05","591","591","553","558","-3.79","18707"
"BPCL","2018-02-06","549","567","548","557","-0.18","11101"
"BPCL","2018-02-07","565","565","544","558","0.18","2625"
"BPCL","2018-02-08","547","552","540","549","-1.61","2843"
"BPCL","2018-02-11","555","566","551","552","0.36","4680"
"BPCL","2018-02-12","555","563","550","560","2.18","3108"
"BPCL","2018-02-14","570","570","550","559","-0.71","3377"
"BPCL","2018-02-15","556","569","556","568","1.61","7473"
"BPCL","2018-02-18","568","575","557","557","-1.94","1970"
"BPCL","2018-02-20","551","551","539","540","-3.05","4906"
"BPCL","2018-02-21","550","559","535","535","0.93","3770"
"BPCL","2018-02-22","535","550","535","545","0.00","2575"
"BPCL","2018-02-25","555","555","534","534","-2.02","960"
"BPCL","2018-02-26","552","552","524","534","-1.48","5160"
"BPCL","2018-02-27","536","540","517","530","-0.75","13789"
"BPCL","2018-02-28","540","540","512","518","-2.26","3820"
"BPCL","2018-03-04","518","528","498","507","-2.12","1674"
